Real Temp(C),Tem,Thermistor Resistor_Down(ohms),Termistor Resistor_Up(ohms),AVERAGE_r
25,298.15,9902.12,9823.39,9862.755
26,299.15,9560.32,9501.89,9531.1
27,300.15,9265.54,9597.8,9431.67
28,301.15,8909.43,9085.27,8997.35
29,302.15,8532.61,8186.34,8359.48
30,303.15,8106.19,8491.74,8298.96
31,304.15,7577.32,7775.19,7676.25
32,305.15,7309.64,7518.74,7414.19
33,306.15,6993.36,6733.29,6863.32
34,307.15,6634.15,6601.24,6617.7
35,308.15,6446.95,6363.65,6405.3
36,309.15,6263.79,6531.11,6397.45
37,310.15,6009.39,6095.84,6052.62
38,311.15,5618.32,5799.66,5708.99
39,312.15,5476.55,5445.56,5461.06
40,313.15,5245.9,5102.81,5174.35
41,314.15,4978.04,5005.21,4991.62
42,315.15,4783.24,4574.6,4678.92
43,316.15,4677.19,4830.43,4753.81
44,317.15,4469.59,4528.44,4499.01
45,318.15,4129.83,4236.42,4183.12
46,319.15,4013.7,3955.31,3984.5
47,320.15,3967.45,4154.2,4060.82
48,321.15,3861.79,4013.61,3937.7
49,322.15,3731.54,3835.42,3783.48
50,323.15,3496.04,3389.28,3442.66
51,324.15,3442.84,3431.38,3437.11
52,325.15,3302.99,3152.31,3227.65
53,326.15,3166.02,3056.57,3111.3
54,327.15,3065.13,3121.24,3093.18
55,328.15,,,
56,329.15,2803.5,2872.12,2837.81
57,330.15,2708.07,2834.67,2771.37
58,331.15,2598.52,2553.26,2575.89
59,332.15,2521.42,2488.76,2505.09
60,333.15,2415.05,2407.7,2411.38
61,334.15,2340.17,2267.5,2303.84
62,335.15,2236.84,2154.06,2195.45
63,336.15,2193.09,2187.76,2190.43
64,337.15,2092.2,2035.06,2063.63
65,338.15,,,
66,339.15,1936.99,1969.88,1953.44
67,340.15,1923.75,1911.66,1917.7
68,341.15,1867.75,1929.89,1898.82
69,342.15,,,
70,343.15,1840.75,1877.61,1859.18
71,344.15,,,
72,345.15,1585.5,1555.75,1570.62
73,346.15,1520.27,1570.78,1545.52
74,347.15,1481.48,1526.63,1504.06
75,348.15,1374.31,1358.85,1366.58
76,349.15,1341.46,1313.07,1327.26
77,350.15,1291.39,1314.96,1303.18
78,351.15,1254.13,1208.95,1231.54
79,352.15,1217.11,1180.59,1198.85
80,353.15,1143.79,1087.44,1115.62
81,354.15,,,
82,355.15,1035.6,1065.31,1050.46
83,356.15,,,
84,357.15,1023.71,1040.59,1032.15
85,358.15,1000,1020.52,1010.26
86,359.15,964.63,991.71,978.17
87,360.15,929.49,925.67,927.58
88,361.15,982.98,989.74,986.36
89,362.15,,,
90,363.15,848.36,817.8,833.08
91,364.15,,,
92,365.15,791.14,760.64,775.89
93,366.15,,,
94,367.15,734.52,746.89,740.7
95,368.15,,,
96,369.15,678.5,676.54,677.52
97,370.15,,,
98,371.15,667.36,671.71,669.54
99,372.15,,,
100,373.15,,,
